X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE,,,,,,,,,,,,,,,,,
0.61000,0.72000,-0.08000,2.43000,2.82000,3.00000,2.91000,85.30000,121.35000,-19680.00000,,,,,,,,,,,,,,,,
0.62000,0.72000,-0.08000,3.01000,3.12000,3.00000,2.88000,89.61000,119.97000,-28680.00000,,,,,,,,,,,,,,,,
0.63000,0.72000,-0.08000,3.07000,3.09000,2.99000,2.87000,89.61000,119.97000,27868.00000,,,,,,,,,,,,,,,,
0.63000,0.71000,-0.07000,3.54000,2.96000,2.99000,2.86000,83.37000,115.92000,18816.00000,,,,,,,,,,,,,,,,
0.64000,0.71000,-0.06000,3.18000,2.79000,3.00000,2.90000,83.37000,115.92000,9840.00000,,,,,,,,,,,,,,,,
0.65000,0.71000,-0.04000,4.01000,2.59000,3.01000,2.92000,81.44000,120.06000,900.00000,,,,,,,,,,,,,,,,
0.66000,0.71000,-0.03000,3.23000,2.76000,3.02000,3.02000,81.44000,120.06000,-8084.00000,,,,,,,,,,,,,,,,
0.66000,0.71000,-0.02000,3.04000,2.76000,2.98000,3.01000,79.22000,122.66000,-17068.00000,,,,,,,,,,,,,,,,
0.67000,0.71000,-0.03000,2.68000,2.76000,2.96000,3.01000,79.22000,122.66000,-26020.00000,,,,,,,,,,,,,,,,
0.67000,0.71000,-0.02000,2.84000,2.76000,2.97000,3.01000,85.82000,124.14000,30532.00000,,,,,,,,,,,,,,,,
0.68000,0.71000,-0.02000,3.01000,2.84000,2.96000,3.01000,85.82000,124.14000,21580.00000,,,,,,,,,,,,,,,,
0.69000,0.71000,-0.02000,2.93000,2.87000,2.95000,3.01000,82.26000,124.37000,12528.00000,,,,,,,,,,,,,,,,
0.69000,0.71000,-0.02000,3.26000,3.04000,2.94000,3.01000,82.26000,124.37000,3576.00000,,,,,,,,,,,,,,,,
0.70000,0.71000,-0.02000,2.65000,3.04000,2.92000,3.01000,77.76000,122.38000,-5380.00000,,,,,,,,,,,,,,,,
0.71000,0.71000,-0.03000,2.65000,3.21000,2.95000,3.01000,77.76000,122.38000,-14344.00000,,,,,,,,,,,,,,,,
0.71000,0.71000,-0.04000,2.68000,3.10000,2.99000,3.02000,85.88000,119.80000,-23336.00000,,,,,,,,,,,,,,,,
0.72000,0.71000,-0.03000,3.43000,3.07000,3.02000,3.02000,85.88000,119.80000,-32288.00000,,,,,,,,,,,,,,,,
0.73000,0.71000,-0.03000,3.43000,2.98000,2.99000,3.02000,76.28000,120.78000,24220.00000,,,,,,,,,,,,,,,,
0.73000,0.71000,-0.02000,2.93000,2.73000,2.96000,3.01000,76.28000,120.78000,15156.00000,,,,,,,,,,,,,,,,
0.74000,0.71000,-0.02000,2.79000,2.59000,2.94000,3.01000,80.43000,125.37000,6164.00000,,,,,,,,,,,,,,,,
0.75000,0.71000,-0.01000,3.01000,2.62000,2.93000,3.01000,80.43000,125.37000,-2728.00000,,,,,,,,,,,,,,,,
0.75000,0.71000,-0.02000,2.48000,2.65000,2.90000,3.00000,78.59000,128.60000,-11704.00000,,,,,,,,,,,,,,,,
0.76000,0.71000,-0.01000,2.98000,2.62000,2.91000,3.00000,78.59000,128.60000,-20652.00000,,,,,,,,,,,,,,,,
0.76000,0.71000,-0.01000,2.40000,2.57000,2.88000,3.00000,78.03000,130.81000,-29632.00000,,,,,,,,,,,,,,,,
0.77000,0.71000,-0.01000,2.68000,2.76000,2.89000,3.00000,78.03000,130.81000,26944.00000,,,,,,,,,,,,,,,,
0.78000,0.71000,-0.01000,2.98000,2.82000,2.89000,3.00000,82.15000,131.01000,17964.00000,,,,,,,,,,,,,,,,
0.78000,0.71000,-0.00000,3.21000,2.87000,2.87000,3.00000,82.15000,131.01000,8984.00000,,,,,,,,,,,,,,,,
0.79000,0.71000,-0.01000,2.62000,2.90000,2.85000,2.99000,74.83000,130.63000,44.00000,,,,,,,,,,,,,,,,
0.80000,0.71000,-0.02000,2.87000,3.21000,2.86000,2.99000,74.83000,130.63000,-8808.00000,,,,,,,,,,,,,,,,
0.80000,0.71000,-0.02000,2.79000,3.26000,2.88000,3.00000,78.17000,126.43000,-17740.00000,,,,,,,,,,,,,,,,
0.81000,0.71000,-0.04000,2.65000,3.32000,2.91000,3.00000,78.17000,126.43000,-26796.00000,,,,,,,,,,,,,,,,
0.82000,0.71000,-0.05000,2.76000,3.26000,2.95000,3.01000,82.62000,123.70000,29732.00000,,,,,,,,,,,,,,,,
0.82000,0.71000,-0.05000,2.82000,3.26000,2.98000,3.01000,82.62000,123.70000,20684.00000,,,,,,,,,,,,,,,,
0.83000,0.71000,-0.05000,2.84000,2.90000,3.01000,3.02000,82.89000,122.85000,11664.00000,,,,,,,,,,,,,,,,
0.84000,0.71000,-0.06000,2.82000,2.90000,3.02000,3.02000,82.89000,122.85000,2676.00000,,,,,,,,,,,,,,,,
0.84000,0.71000,-0.06000,2.87000,2.84000,3.02000,3.02000,84.18000,126.80000,-6264.00000,,,,,,,,,,,,,,,,
0.85000,0.71000,-0.04000,3.60000,2.98000,3.02000,3.02000,84.18000,126.80000,-15244.00000,,,,,,,,,,,,,,,,
0.86000,0.71000,-0.04000,3.18000,3.12000,2.98000,3.01000,73.02000,126.18000,-24208.00000,,,,,,,,,,,,,,,,
0.86000,0.71000,-0.05000,2.93000,3.21000,2.97000,3.01000,73.02000,126.18000,32288.00000,,,,,,,,,,,,,,,,
0.87000,0.71000,-0.05000,2.87000,3.23000,2.99000,3.02000,79.51000,123.04000,23300.00000,,,,,,,,,,,,,,,,
0.88000,0.71000,-0.05000,3.10000,3.04000,3.01000,3.02000,79.51000,123.04000,14284.00000,,,,,,,,,,,,,,,,
0.88000,0.71000,-0.07000,2.37000,3.04000,3.01000,3.02000,77.67000,124.46000,5300.00000,,,,,,,,,,,,,,,,
0.89000,0.71000,-0.08000,2.15000,3.01000,3.02000,2.99000,77.67000,124.46000,-3596.00000,,,,,,,,,,,,,,,,
0.90000,0.71000,-0.09000,2.54000,3.04000,3.01000,2.92000,91.33000,123.31000,-12572.00000,,,,,,,,,,,,,,,,
0.90000,0.71000,-0.11000,2.26000,3.07000,3.00000,2.88000,91.33000,123.31000,-21532.00000,,,,,,,,,,,,,,,,
0.91000,0.70000,-0.11000,2.98000,3.10000,2.98000,2.82000,94.47000,120.37000,-30544.00000,,,,,,,,,,,,,,,,
0.92000,0.70000,-0.11000,2.82000,3.01000,2.98000,2.80000,94.47000,120.37000,25968.00000,,,,,,,,,,,,,,,,
0.92000,0.70000,-0.10000,3.49000,3.01000,2.97000,2.77000,90.27000,119.01000,16928.00000,,,,,,,,,,,,,,,,
0.93000,0.70000,-0.09000,3.37000,2.93000,2.97000,2.78000,90.27000,119.01000,7916.00000,,,,,,,,,,,,,,,,
0.94000,0.70000,-0.09000,3.40000,2.90000,2.97000,2.78000,82.88000,119.02000,-1056.00000,,,,,,,,,,,,,,,,
0.94000,0.70000,-0.09000,2.90000,2.93000,2.98000,2.79000,82.88000,119.02000,-9968.00000,,,,,,,,,,,,,,,,
0.95000,0.70000,-0.09000,2.76000,2.76000,2.97000,2.77000,87.51000,117.90000,-18900.00000,,,,,,,,,,,,,,,,
0.95000,0.70000,-0.09000,2.20000,2.48000,2.96000,2.74000,87.51000,117.90000,-27820.00000,,,,,,,,,,,,,,,,
0.96000,0.70000,-0.09000,2.54000,2.51000,2.94000,2.70000,98.00000,122.57000,28704.00000,,,,,,,,,,,,,,,,
0.97000,0.70000,-0.09000,2.76000,2.62000,0.60000,-0.61000,98.00000,122.57000,19768.00000,,,,,,,,,,,,,,,,
0.97000,0.70000,-0.08000,3.29000,2.82000,0.57000,-0.58000,58.47000,72.68000,10792.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.08000,1.73000,1.76000,0.53000,-0.55000,58.47000,72.68000,1828.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.07000,1.56000,0.84000,0.50000,-0.54000,59.79000,66.95000,-6996.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.06000,1.03000,0.47000,0.46000,-0.55000,59.79000,66.95000,-15840.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.17000,0.00000,0.42000,-0.56000,61.61000,72.12000,-24648.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,61.61000,72.12000,32136.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,73.22000,72.94000,23516.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,73.22000,72.94000,14924.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,75.66000,69.55000,6308.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,75.66000,69.55000,-2252.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,78.09000,66.15000,-10816.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.05000,0.00000,0.00000,0.41000,-0.57000,78.09000,66.15000,-19416.00000,,,,,,,,,,,,,,,,
0.98000,0.70000,-0.04000,0.89000,0.00000,0.41000,-0.57000,80.52000,62.75000,-27980.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.02000,3.12000,0.00000,0.32000,-0.61000,80.52000,62.75000,28716.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.05000,1.87000,0.00000,-0.79000,-1.20000,18.11000,49.87000,19968.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.17000,0.00000,-1.93000,-1.95000,18.11000,49.87000,11148.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,21.15000,30.68000,2380.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,21.15000,30.68000,-6164.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,10.78000,18.69000,-14720.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,10.78000,18.69000,-23328.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,-1.10000,6.70000,-31920.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,-1.10000,6.70000,25112.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,-12.98000,-5.29000,16600.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,-12.98000,-5.29000,8036.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.98000,-2.00000,-24.86000,-17.29000,-476.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,-0.08000,-1.98000,-2.00000,-24.86000,-17.29000,-8996.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.06000,0.00000,0.00000,-1.99000,-2.01000,-36.92000,-28.20000,-17700.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.05000,-0.14000,0.00000,-1.99000,-2.01000,-36.92000,-28.20000,-26324.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.05000,-0.06000,0.00000,-1.95000,-1.97000,-46.23000,-40.45000,30452.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.05000,-0.20000,0.00000,-1.94000,-1.96000,-46.23000,-40.45000,21668.00000,,,,,,,,,,,,,,,,
0.99000,0.70000,0.05000,0.00000,0.00000,-1.88000,-1.90000,-55.14000,-51.14000,12896.00000,,,,,,,,,,,,,,,,
